AA,PRNIDM,PRIDM,PRNIDF,PRIDF,PoRHM,PoRNIDiM,PoRIDiM,PoRHF,PoRNIDiF,PoRIDiF,DNIDM,DIDM,DNIDF,DIDF
39,0.00073,0,0.00047,0,0.00096,0.0091,0.00213,0.00078,0.00576,0.00177,0.00105,0,0.0014,0
40,0.00075,0,0.0005,0,0.0011,0.00949,0.00225,0.00091,0.00605,0.00188,0.00122,0,0.00155,0
41,0.00082,0,0.00054,0,0.00126,0.00993,0.00239,0.00105,0.00636,0.00202,0.0014,0,0.0017,0
42,0.00089,0,0.00058,0,0.00145,0.01041,0.00255,0.00123,0.0067,0.00218,0.00157,0,0.00184,0
43,0.00094,0,0.00062,0,0.00168,0.01095,0.00273,0.00145,0.0071,0.00236,0.00171,0,0.00197,0
44,0.00101,0,0.00067,0,0.00195,0.01154,0.00295,0.0017,0.00754,0.00257,0.00182,0,0.00208,0
45,0.00106,0,0.00071,0,0.00227,0.01221,0.00318,0.002,0.00804,0.00281,0.00191,0,0.00218,0
46,0.00116,0,0.00076,0,0.00265,0.01295,0.00346,0.00236,0.0086,0.00308,0.00198,0,0.00226,0
47,0.00126,0,0.00083,0,0.0031,0.01377,0.00377,0.0028,0.00922,0.0034,0.00203,0,0.00232,0
48,0.00136,0,0.00089,0,0.00363,0.01467,0.00413,0.00331,0.00992,0.00377,0.00207,0,0.00234,0
49,0.00145,0,0.00094,0,0.00427,0.01568,0.00454,0.00393,0.0107,0.00418,0.0021,0,0.00233,0
50,0.00155,0,0.001,0,0.00501,0.0168,0.00501,0.00466,0.01158,0.00466,0.00213,0,0.00229,0
51,0.0017,0,0.00108,0,0.00517,0.01728,0.00517,0.00476,0.01168,0.00476,0.00215,0,0.00223,0
52,0.00185,0,0.00118,0,0.00534,0.0178,0.00534,0.00476,0.01178,0.00476,0.00217,0,0.00213,0
